,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Broken Hill,0,AU,1541883446,46,-31.97,141.45,15.38,2.18
1,Rikitea,68,PF,1541883315,100,-23.12,-134.97,21.48,5.61
2,Thompson,75,CA,1541880000,72,55.74,-97.86,-9.0,3.1
3,Bintulu,75,MY,1541880000,94,3.17,113.03,25.0,1.23
4,Villanueva de la Serena,92,ES,1541883447,96,38.97,-5.8,14.98,4.86
5,Bouake,75,CI,1541880000,94,7.69,-5.02,25.0,1.0
6,Ishigaki,92,JP,1541883448,100,24.34,124.16,22.36,4.81
7,Cape Town,0,ZA,1541880000,68,-33.93,18.42,20.0,7.2
8,Ushuaia,40,AR,1541880000,49,-54.81,-68.31,9.0,13.9
9,Tambun,75,MY,1541880000,88,4.62,101.14,26.0,1.5
10,Cherskiy,0,RU,1541883452,76,68.75,161.3,-23.97,2.71
11,Arraial do Cabo,40,BR,1541880000,73,-22.97,-42.02,24.0,7.7
12,Kwidzyn,0,PL,1541883344,93,53.73,18.93,5.08,3.58
13,Port Blair,92,IN,1541882898,100,11.67,92.75,24.38,7.88
14,Butaritari,76,KI,1541883453,100,3.07,172.79,27.06,3.73
15,Bluff,0,AU,1541883294,67,-23.58,149.07,22.06,4.53
16,Santiago de Cao,40,PE,1541880000,73,-7.96,-79.24,22.0,5.1
17,Qaanaaq,8,GL,1541883456,100,77.48,-69.36,-20.4,3.93
18,Mataura,8,NZ,1541883457,70,-46.19,168.86,13.08,2.23
19,Lebu,40,ET,1541883600,76,8.96,38.73,14.0,2.1
20,Alofi,75,NU,1541880000,78,-19.06,-169.92,28.0,3.1
21,Jonesboro,1,US,1541882100,40,35.84,-90.7,3.0,4.1
22,Auki,0,NG,1541883458,40,12.18,6.51,19.48,1.81
23,Punta Arenas,0,CL,1541880000,57,-53.16,-70.91,10.0,5.1
24,Udachnyy,0,RU,1541883459,58,66.42,112.4,-19.17,2.61
25,Lompoc,1,US,1541882100,6,34.64,-120.46,25.6,3.1
26,Albany,75,US,1541879640,38,42.65,-73.75,3.9,9.8
27,Agadir,0,MA,1541881800,87,30.42,-9.58,15.0,1.0
28,Airai,0,TL,1541883472,86,-8.93,125.41,19.46,0.36
29,Berezovyy,92,RU,1541882787,90,51.67,135.7,0.73,3.41
30,Lavrentiya,68,RU,1541883473,100,65.58,-170.99,2.06,6.66
31,Mar del Plata,8,AR,1541883423,71,-46.43,-67.52,12.23,6.41
32,Kaitangata,8,NZ,1541883473,83,-46.28,169.85,13.36,2.01
33,Tuktoyaktuk,90,CA,1541880000,92,69.44,-133.03,-10.0,4.6
34,Atuona,32,PF,1541883474,100,-9.8,-139.03,26.76,4.63
